edge_id,std_dev
1832-2242,0.044932704
678-2242,0.039750893
979-2242,0.042852603
48-2242,0.041190304
2226-2237,0.06463153
1164-2242,0.04182412
253-2236,0.045128882
888-2242,0.043786142
731-2242,0.043842178
701-2242,0.056096718
1652-2242,0.054315273
1429-2237,0.08302552
1279-2242,0.04229851
1542-2242,0.04004823
1051-2242,0.04356368
4-2241,0.044452228
77-2241,0.05207424
1268-2241,0.050394963
1460-2237,0.059901204
1616-2237,0.05874322
747-2235,0.054298855
2171-2242,0.049931433
317-2256,0.04392146
1064-2250,0.03283825
84-2250,0.091721214
509-2250,0.045885697
597-2256,0.042294696
570-2245,0.06033461
338-2247,0.041929364
258-2245,0.06752391
358-2245,0.04809284
408-2251,0.17057309
944-2251,0.112335466
1598-2251,0.043779146
533-2251,0.060242817
508-2251,0.04545442
758-2251,0.044537343
440-2252,0.041651253
604-2254,0.04293687
551-2254,0.04928532
478-2254,0.04160411
452-2254,0.041876506
1138-2254,0.043853175
343-2253,0.050291408
54-2264,0.046473578
429-2252,0.04260779
192-2254,0.045712437
178-2252,0.040573105
169-2252,0.04357839
2121-2259,0.062412288
716-2254,0.04262157
253-2258,0.042790588
125-2258,0.09242739
67-2252,0.043033924
55-2252,0.0413634
179-2252,0.04130884
888-2254,0.04093115
1226-2254,0.09000732
1150-2254,0.065681584
